pathway_id,from_stop_id,to_stop_id,pathway_mode,is_bidirectional
910GACTNCTL-1001002-AC-3-910GACTNCTL-1001002-Bus-1-same_level,910GACTNCTL-1001002-AC-3,910GACTNCTL-1001002-Bus-1,1,1
910GACTNCTL-1001002-AC-3-910GACTNCTL-1001002-RLY-4-ramp,910GACTNCTL-1001002-AC-3,910GACTNCTL-1001002-RLY-4,1,1
910GACTNCTL-1001002-Bus-1-910GACTNCTL-1001002-ENTR-7-same_level,910GACTNCTL-1001002-Bus-1,910GACTNCTL-1001002-ENTR-7,1,1
910GACTNCTL-1001002-ENTR-7-910GACTNCTL-1001002-RPL-5-ramp,910GACTNCTL-1001002-ENTR-7,910GACTNCTL-1001002-RPL-5,1,1
910GACTNCTL-1001002-RLY-4-910GACTNCTL-1001002-RPL-2-same_level,910GACTNCTL-1001002-RLY-4,910GACTNCTL-1001002-RPL-2,1,1
910GACTNCTL-Outside-910GACTNCTL-Plat01-WB-london-overground-same_level,910GACTNCTL-Outside,910GACTNCTL-Plat01-WB-london-overground,1,1
910GACTNCTL-Outside-910GACTNCTL-Plat02-EB-london-overground-same_level,910GACTNCTL-Outside,910GACTNCTL-Plat02-EB-london-overground,1,1
910GACTONML-1001003-AC-B-3-910GACTONML-1001003-Bus-1-same_level,910GACTONML-1001003-AC-B-3,910GACTONML-1001003-Bus-1,1,1
910GACTONML-1001003-AC-S-6-910GACTONML-1001003-Bus-1-same_level,910GACTONML-1001003-AC-S-6,910GACTONML-1001003-Bus-1,1,1
910GACTONML-1001003-AC-S-6-910GACTONML-1001003-RPL1-2-lift-910GACTONML-Lift-1,910GACTONML-1001003-AC-S-6,910GACTONML-1001003-RPL1-2,5,1
910GACTONML-1001003-AC-S-6-910GACTONML-1001003-RPL2-5-lift-910GACTONML-Lift-2,910GACTONML-1001003-AC-S-6,910GACTONML-1001003-RPL2-5,5,1
910GACTONML-1001003-AC-S-6-910GACTONML-Outside-same_level,910GACTONML-1001003-AC-S-6,910GACTONML-Outside,1,1
910GACTONML-1001003-RPL1-2-910GACTONML-Plat03-WB-elizabeth-same_level,910GACTONML-1001003-RPL1-2,910GACTONML-Plat03-WB-elizabeth,1,1
910GACTONML-1001003-RPL2-5-910GACTONML-Plat04-EB-elizabeth-same_level,910GACTONML-1001003-RPL2-5,910GACTONML-Plat04-EB-elizabeth,1,1
910GANERLEY-1001007-AcAne-3-910GANERLEY-1001007-Bus-1-same_level,910GANERLEY-1001007-AcAne-3,910GANERLEY-1001007-Bus-1,1,1
910GANERLEY-1001007-AcAne-3-910GANERLEY-1001007-RPL-S-2-same_level,910GANERLEY-1001007-AcAne-3,910GANERLEY-1001007-RPL-S-2,1,1
