StationUniqueId,LiftUniqueId,LiftId,NationalRailUprn,LiftName,FriendlyName,FromAreas,IntermediateAreas,IntermediateAreas2,ToAreas,LimitedCapacityLift,LiftNotes
910GACTONML,910GACTONML-Lift-1,1,,,Lift 1,910GACTONML-1001003-AC-S-6,,,910GACTONML-1001003-RPL1-2,False,
910GACTONML,910GACTONML-Lift-2,2,,,Lift 2,910GACTONML-1001003-AC-S-6,,,910GACTONML-1001003-RPL2-5,False,
910GBRENTX,910GBRENTX-Lift-1,1,,,Lift 1,910GBRENTX-1002310-EntW-7,,,910GBRENTX-1002310-FB-8,False,
910GBRENTX,910GBRENTX-Lift-2,2,,,Lift 2 ,910GBRENTX-1002310-RLY-5,,,910GBRENTX-1002310-RPL4-10|910GBRENTX-1002310-RPL3-4,False,
910GBRENTX,910GBRENTX-Lift-3,3,,,Lift 3 ,910GBRENTX-1002310-RLY-5,,,910GBRENTX-1002310-RPL2-3|910GBRENTX-1002310-RPL1-2,False,
910GBRENTX,910GBRENTX-Lift-4,4,,,Lift 4 ,910GBRENTX-1002310-EntE-6,,,910GBRENTX-1002310-EML-11,False,
910GBRENTX,910GBRENTX-Lift-5,4,,,Lift 5,910GBRENTX-1002310-EML-11,,,910GBRENTX-1002310-FB-8,False,
910GBROCKLY,910GBROCKLY-Lift-1,1,,,Lift 1,910GBROCKLY-1001035-Brdge-7,,,910GBROCKLY-1001035-RPL-N-6,False,
910GBROMLYS,910GBROMLYS-Lift-1,1,,,Lift 1,910GBROMLYS-1001037-Con-71,,,910GBROMLYS-1001037-RPL E-2,False,
910GBROMLYS,910GBROMLYS-Lift-2,2,,,Lift 2,910GBROMLYS-1001037-Con-71,,,910GBROMLYS-1001037-RPL W-3,False,
910GBRTWOOD,910GBRTWOOD-Lift-1,1,,,Lift 1,910GBRTWOOD-1000292-FBdg-7,,,910GBRTWOOD-1000292-RPL-1-1,False,
910GBRTWOOD,910GBRTWOOD-Lift-2,2,,,Lift 2 ,910GBRTWOOD-1000292-FBdg-7,,,910GBRTWOOD-1000292-RPL-2-2,False,
910GBNHAM,910GBNHAM-Lift-1,1,,,Lift 1 ,910GBNHAM-1000860-UP-4,,,910GBNHAM-1000860-RPL E-1|910GBNHAM-1000860-RPL W-2,False,
910GCATFORD,910GCATFORD-Lift-1,1,,,Lift 1,910GCATFORD-1001053-Entr-4,,,910GCATFORD-1001053-RPL N-1,False,
910GCATFORD,910GCATFORD-Lift-2,2,,,Lift 2,910GCATFORD-1001053-Entr-4,,,910GCATFORD-1001053-RPL S-2,False,
910GCHDWLHT,910GCHDWLHT-Lift-1,1,,,Lift 1,910GCHDWLHT-1001055-FBdg-6,,,910GCHDWLHT-1001055-RPL1-2,False,
910GCHDWLHT,910GCHDWLHT-Lift-2,2,,,Lift 2,910GCHDWLHT-1001055-FBdg-6,,,910GCHDWLHT-1001055-RPL2-5,False,
910GCHDWLHT,910GCHDWLHT-Lift-3,3,,,Lift 3,910GCHDWLHT-1001055-FBdg-6,,,910GCHDWLHT-1001055-RPL3-7,False,
910GCLDNNRB,910GCLDNNRB-Lift-2,2,,,Lift 2,910GCLDNNRB-1001043-RLY-4,,,910GCLDNNRB-1001043-RPL-2,False,
910GCMDNRD,910GCMDNRD-Lift-1,1,,,Lift 1,910GCMDNRD-1001045-Subwy-70,,,910GCMDNRD-1001045-RPL W-3,False,
910GCMDNRD,910GCMDNRD-Lift-2,2,,,Lift 2,910GCMDNRD-1001045-Subwy-70,,,910GCMDNRD-1001045-RPL E-2,False,
910GCNNB,910GCNNB-Lift-1,1,,,Lift 1,910GCNNB-1001048-Entr-2,,,910GCNNB-1001048-RPL 1-1,False,
910GCNNB,910GCNNB-Lift-2,2,,,Lift 2,910GCNNB-1001048-Entr-2,,,910GCNNB-1001048-RPL 2-3|910GCNNB-1001048-RPL 3-4,False,
910GCNNB,910GCNNB-Lift-3,3,,,Lift 3,910GCNNB-1001048-Entr-2,,,910GCNNB-1001048-RPL 4-5,False,
910GCOLSDNS,910GCOLSDNS-Lift-1,1,,,Lift 1,910GCOLSDNS-1001072-BRIDG-5,,,910GCOLSDNS-1001072-RPLN-2,False,
910GCOLSDNS,910GCOLSDNS-Lift-2,2,,,Lift 2,910GCOLSDNS-1001072-BRIDG-5,,,910GCOLSDNS-1001072-RPLS-4,False,
910GCRLN,910GCRLN-Lift-1,1,,,Lift 1 ,910GCRLN-1001058-FBdg-7,,,910GCRLN-1001058-RPL-W-3,False,
910GCRSHLTN,910GCRSHLTN-Lift-1,1,,,Lift 1,910GCRSHLTN-1001051-FOT-7,,,910GCRSHLTN-1001051-RPLE-5,False,
910GCRSHLTN,910GCRSHLTN-Lift-2,2,,,Lift 2,910GCRSHLTN-1001051-FOT-7,,,910GCRSHLTN-1001051-RPLW-2|,False,
910GCTMSLNK,910GCTMSLNK-Lift-1,1,,,Lift 1 ,910GCTMSLNK-1001067-UGLH-6,,,910GCTMSLNK-1001067-RPL-N-2,False,
910GCTMSLNK,910GCTMSLNK-Lift-2,2,,,Lift 2,910GCTMSLNK-1001067-UGLH-6,,,910GCTMSLNK-1001067-RPL-S-7,False,
910GDALS,910GDALS-Lift-1,1,,,Lift 1,910GDALS-1001568-RLY-6,,,910GDALS-1001568-RPL-2,False,
910GDARTFD,910GDARTFD-Lift-1,1,,,Lift 1,910GDARTFD-1001082-Entr-4,,,910GDARTFD-1001082-FBdg-5,False,
910GDARTFD,910GDARTFD-Lift-2,2,,,Lift 2,910GDARTFD-1001082-RPL1-1,,,910GDARTFD-1001082-FBdg-5,False,
910GDARTFD,910GDARTFD-Lift-3,3,,,Lift 3,910GDARTFD-1001082-RPL2-2,,,910GDARTFD-1001082-FBdg-5,False,
910GDENMRKH,910GDENMRKH-Lift-1,1,u072209000001,,Lift 1,910GDENMRKH-1001083-RLY-6,,,910GDENMRKH-1001083-RPL1-2,False,
910GDENMRKH,910GDENMRKH-Lift-2,2,u072209000002,,Lift 2,910GDENMRKH-1001083-RLY-6,,,910GDENMRKH-1001083-RPL23-4,False,
910GDENMRKH,910GDENMRKH-Lift-3,3,u072209000003,,Lift 3,910GDENMRKH-1001083-RLY-6,,,910GDENMRKH-1001083-RPL4-5,False,
910GDEPTFD,910GDEPTFD-Lift-1,1,,,Lift 1 ,910GDEPTFD-1001084-RPL-W-1,,,910GDEPTFD-1001084-Entr-4|910GDEPTFD-1001084-UP-5,False,
910GDEPTFD,910GDEPTFD-Lift-2,2,,,Lift 2 ,910GDEPTFD-1001084-RPL-E-2,,,910GDEPTFD-1001084-UP-5,False,
910GEDMNGRN,910GEDMNGRN-Lift-1,1,,,Lift 1,910GEDMNGRN-1001092-RLY-5,,,910GEDMNGRN-1001092-RPL-S-4,False,
910GEDMNGRN,910GEDMNGRN-Lift-2,2,,,Lift 2,910GEDMNGRN-1001092-RLY-5,,,910GEDMNGRN-1001092-RPL-N-2,False,
910GELTR,910GELTR-Lift-1,1,,,Lift 1,910GELTR-1001096-FBdg-8,,,910GELTR-1001096-RPL-S-2,False,
910GELTR,910GELTR-Lift-2,2,,,Lift 2,910GELTR-1001096-FBdg-8,,,910GELTR-1001096-RPL-N-3,False,
910GELTR,910GELTR-Lift-3,3,,,Lift 3,910GELTR-1001096-FBdg-8,,,910GELTR-1001096-RPL3-4,False,
