PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
HUBABW-Plat01-WB-national-rail,910GABWD,national-rail,,,,,,,,False,,TRUE,,
HUBABW-Plat02-EB-national-rail,910GABWD,national-rail,,,,,,,,False,,TRUE,,
HUBABW-Plat03-WB-elizabeth,910GABWD,elizabeth,,,,,,,,False,,TRUE,,
HUBABW-Plat04-WB-elizabeth,910GABWD,elizabeth,,,,,,,,False,,TRUE,,
910GACTNCTL-Plat01-WB-london-overground,910GACTNCTL,london-overground,Richmond,,,,,,,False,,TRUE,Step-free platform interchange requires a 50m journey via street. Use East Churchfield Road entrance for westbound and Churchfield Road for eastbound,
910GACTNCTL-Plat02-EB-london-overground,910GACTNCTL,london-overground,Stratford,,,,,,,False,,TRUE,,
910GACTONML-Plat03-WB-elizabeth,910GACTONML,elizabeth,,,,,,,,False,,TRUE,,
910GACTONML-Plat04-EB-elizabeth,910GACTONML,elizabeth,,,,,,,,False,,TRUE,,
910GANERLEY-Plat01-NB-london-overground,910GANERLEY,london-overground,Dalston Junction,,,,,,,False,,TRUE,,
910GANERLEY-Plat02-SB-london-overground,910GANERLEY,london-overground,West Croydon,,,,,,,False,,TRUE,,
910GBCKNHMH-Plat01-NB-thameslink,910GBCKNHMH,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBCKNHMH-Plat02-SB-thameslink,910GBCKNHMH,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBELNGHM-Plat01-NB-thameslink,910GBELNGHM,thameslink,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBELNGHM-Plat02-SB-thameslink,910GBELNGHM,thameslink,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBHILLPK-Plat01-SB-london-overground,910GBHILLPK,london-overground,,,,,,,,False,,TRUE,Use the St Mark's Road entrance for southbound platform. Step-free platform interchange requires a 290m journey via street,
910GBHILLPK-Plat02-NB-london-overground,910GBHILLPK,london-overground,,,,,,,,False,,TRUE,Use the Queen Anne's Place entrance for northbound platform. Step-free platform interchange requires a 290m journey via street,
910GBICKLEY-Plat01-NB-national-rail,910GBICKLEY,national-rail,,,,,,,,False,,False,,
910GBICKLEY-Plat02-SB-national-rail,910GBICKLEY,national-rail,,,,,,,,False,,False,,
910GBNHAM-Plat01-WB-elizabeth,910GBNHAM,elizabeth,Reading,,,,,,,False,,TRUE,,
910GBNHAM-Plat02-EB-elizabeth,910GBNHAM,elizabeth,Paddington Station,,,,,,,False,,TRUE,,
910GBRBYPK-Plat01-WB-london-overground,910GBRBYPK,london-overground,,,,,,,,False,,False,,
910GBRBYPK-Plat02-EB-london-overground,910GBRBYPK,london-overground,,,,,,,,False,,False,,
910GBRBY-Plat01-WB-london-overground,910GBRBY,london-overground,,,,,,,,False,,False,,
910GBRBY-Plat02-EB-london-overground,910GBRBY,london-overground,,,,,,,,False,,False,,
910GBRENTX-Plat01-SB-thameslink,910GBRENTX,thameslink,,,,,,,,False,,TRUE,,
910GBRENTX-Plat02-NB-thameslink,910GBRENTX,thameslink,,,,,,,,False,,TRUE,,
910GBRENTX-Plat03-SB-thameslink,910GBRENTX,thameslink,,,,,,,,False,,TRUE,,
910GBRENTX-Plat04-NB-thameslink,910GBRENTX,thameslink,,,,,,,,False,,TRUE,,
910GBROCKLY-Plat01-NB-london-overground,910GBROCKLY,london-overground,Dalston Junction and Highbury & Islington,,,,,,,False,,TRUE,Step-free platform interchange requires a 500m journey via street,
910GBROCKLY-Plat02-SB-london-overground,910GBROCKLY,london-overground,Crystal Palace and West Croydon,,,,,,,False,,TRUE,Step-free platform interchange requires a 500m journey via street,
910GBROMLYS-Plat01-NB-thameslink,910GBROMLYS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat02-SB-thameslink,910GBROMLYS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat03-NB-thameslink,910GBROMLYS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBROMLYS-Plat04-SB-thameslink,910GBROMLYS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GBRTWOOD-Plat01-WB-elizabeth,910GBRTWOOD,elizabeth,Stratford,,,,,,,False,,TRUE,,
910GBRTWOOD-Plat02-EB-elizabeth,910GBRTWOOD,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GBRTWOOD-Plat03-WB-elizabeth,910GBRTWOOD,elizabeth,Stratford,,,,,,,False,,TRUE,,
910GBRTWOOD-Plat04-EB-elizabeth,910GBRTWOOD,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GBRUCGRV-Plat01-SB-london-overground,910GBRUCGRV,london-overground,,,,,,,,False,,False,,
910GBRUCGRV-Plat02-NB-london-overground,910GBRUCGRV,london-overground,,,,,,,,False,,False,,
910GBTHNLGR-Plat01-WB-london-overground,910GBTHNLGR,london-overground,,,,,,,,False,,False,,
910GBTHNLGR-Plat02-EB-london-overground,910GBTHNLGR,london-overground,,,,,,,,False,,False,,
910GCAMHTH-Plat01-SB-london-overground,910GCAMHTH,london-overground,,,,,,,,False,,False,,
910GCAMHTH-Plat02-NB-london-overground,910GCAMHTH,london-overground,,,,,,,,False,,False,,
910GCATFORD-Plat01-NB-national-rail,910GCATFORD,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCATFORD-Plat02-SB-national-rail,910GCATFORD,national-rail,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCFPK-Plat01-NB-thameslink,910GCFPK,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCFPK-Plat02-SB-thameslink,910GCFPK,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GCHDWLHT-Plat01-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat02-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat03-WB-elizabeth,910GCHDWLHT,elizabeth,Liverpool Street,,,,,,,False,,TRUE,,
910GCHDWLHT-Plat04-EB-elizabeth,910GCHDWLHT,elizabeth,Shenfield,,,,,,,False,,TRUE,,
910GCHESHNT-Plat01-SB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat02-NB-national-rail,910GCHESHNT,national-rail,,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHESHNT-Plat03-SB-london-overground,910GCHESHNT,london-overground,Edmonton Green,,,,,,,False,,TRUE,Step-free platform interchange to/from Platform 1 requires a 70m journey by street,
910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCHINGFD-Plat03-SB-london-overground,910GCHINGFD,london-overground,Liverpool Street,,,,,,,False,,TRUE,,
910GCLAPTON-Plat01-SB-london-overground,910GCLAPTON,london-overground,,,,,,,,False,,False,,
910GCLAPTON-Plat02-NB-london-overground,910GCLAPTON,london-overground,,,,,,,,False,,False,,
910GCLDNNRB-Plat02-WB-london-overground,910GCLDNNRB,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GCLDNNRB-Plat03-EB-london-overground,910GCLDNNRB,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCLPHHS-Plat01-WB-london-overground,910GCLPHHS,london-overground,,,,,,,,False,,False,,
910GCLPHHS-Plat02-EB-london-overground,910GCLPHHS,london-overground,,,,,,,,False,,False,,
910GCMDNRD-Plat01-WB-london-overground,910GCMDNRD,london-overground,Richmond and Clapham Junction,,,,,,,False,,TRUE,,
910GCMDNRD-Plat02-EB-london-overground,910GCMDNRD,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCNNB-Plat01-NB-london-overground,910GCNNB,london-overground,Highbury & Islington,0,85,,0,50,,TRUE,,FALSE,,
910GCNNB-Plat02-SB-london-overground,910GCNNB,london-overground,Crystal Palace and Clapham Junction via Canada Water,0,85,,0,50,,TRUE,,FALSE,,
910GCNNB-Plat03-WB-london-overground,910GCNNB,london-overground,Richmond and Clapham Junction via Willesden Junction,,,,,,,False,,TRUE,,
910GCNNB-Plat04-EB-london-overground,910GCNNB,london-overground,Stratford,,,,,,,False,,TRUE,,
910GCOLSDNS-Plat01-NB-thameslink,910GCOLSDNS,thameslink,,,,,,,,False,,TRUE,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
