UniqueId,StationUniqueId,PlatformNumber,CardinalDirection,PlatformNaptanCode,FriendlyName,IsCustomerFacing,HasServiceInterchange,AccessibleEntranceName,HasStepFreeRouteInformation
HUBABW-Plat01-WB-national-rail,HUBABW,1,Westbound,,Westbound Platform 1 ,TRUE,FALSE,,TRUE
HUBABW-Plat02-EB-national-rail,HUBABW,2,Eastbound,,Eastbound Platform 2 ,TRUE,FALSE,,TRUE
HUBABW-Plat03-WB-elizabeth,HUBABW,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
HUBABW-Plat04-WB-elizabeth,HUBABW,4,Westbound,,Westbound Platform 4,TRUE,FALSE,,TRUE
910GACTNCTL-Plat01-WB-london-overground,910GACTNCTL,1,Westbound,,Westbound Platform 1,TRUE,FALSE,East Churchfield Road,TRUE
910GACTNCTL-Plat02-EB-london-overground,910GACTNCTL,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,Churchfield Road,TRUE
910GACTONML-Plat03-WB-elizabeth,910GACTONML,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GACTONML-Plat04-EB-elizabeth,910GACTONML,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GANERLEY-Plat01-NB-london-overground,910GANERLEY,1,Northbound,,Northbound Platform 1,TRUE,FALSE,Ridslade Road,TRUE
910GANERLEY-Plat02-SB-london-overground,910GANERLEY,2,Southbound,,Southbound Platform 2,TRUE,FALSE,Anerley Station Road,TRUE
910GBCKNHMH-Plat01-NB-thameslink,910GBCKNHMH,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GBCKNHMH-Plat02-SB-thameslink,910GBCKNHMH,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GBELNGHM-Plat01-NB-thameslink,910GBELNGHM,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GBELNGHM-Plat02-SB-thameslink,910GBELNGHM,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GBHILLPK-Plat01-SB-london-overground,910GBHILLPK,1,Southbound,,Southbound Platform 1,TRUE,FALSE,St Mark's Road,TRUE
910GBHILLPK-Plat02-NB-london-overground,910GBHILLPK,2,Northbound,,Northbound Platform 2,TRUE,FALSE,Queen Anne's Place,TRUE
910GBICKLEY-Plat01-NB-national-rail,910GBICKLEY,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GBICKLEY-Plat02-SB-national-rail,910GBICKLEY,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GBNHAM-Plat01-WB-elizabeth,910GBNHAM,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBNHAM-Plat02-EB-elizabeth,910GBNHAM,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GBRBYPK-Plat01-WB-london-overground,910GBRBYPK,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBRBYPK-Plat02-EB-london-overground,910GBRBYPK,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GBRBY-Plat01-WB-london-overground,910GBRBY,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBRBY-Plat02-EB-london-overground,910GBRBY,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GBRENTX-Plat01-SB-thameslink,910GBRENTX,1,Southbound,,Southbound Platform 1 ,TRUE,FALSE,,TRUE
910GBRENTX-Plat02-NB-thameslink,910GBRENTX,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GBRENTX-Plat03-SB-thameslink,910GBRENTX,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
910GBRENTX-Plat04-NB-thameslink,910GBRENTX,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
910GBROCKLY-Plat01-NB-london-overground,910GBROCKLY,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,TRUE
910GBROCKLY-Plat02-SB-london-overground,910GBROCKLY,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GBROMLYS-Plat01-NB-thameslink,910GBROMLYS,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,TRUE
910GBROMLYS-Plat02-SB-thameslink,910GBROMLYS,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GBROMLYS-Plat03-NB-thameslink,910GBROMLYS,3,Northbound,,Northbound Platform 3,TRUE,FALSE,,TRUE
910GBROMLYS-Plat04-SB-thameslink,910GBROMLYS,4,Southbound,,Southbound Platform 4,TRUE,FALSE,,TRUE
910GBRTWOOD-Plat01-WB-elizabeth,910GBRTWOOD,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBRTWOOD-Plat02-EB-elizabeth,910GBRTWOOD,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GBRTWOOD-Plat03-WB-elizabeth,910GBRTWOOD,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GBRTWOOD-Plat04-EB-elizabeth,910GBRTWOOD,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GBRUCGRV-Plat01-SB-london-overground,910GBRUCGRV,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GBRUCGRV-Plat02-NB-london-overground,910GBRUCGRV,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GBTHNLGR-Plat01-WB-london-overground,910GBTHNLGR,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GBTHNLGR-Plat02-EB-london-overground,910GBTHNLGR,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,FALSE
910GCAMHTH-Plat01-SB-london-overground,910GCAMHTH,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,FALSE
910GCAMHTH-Plat02-NB-london-overground,910GCAMHTH,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GCATFORD-Plat01-NB-national-rail,910GCATFORD,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,TRUE
910GCATFORD-Plat02-SB-national-rail,910GCATFORD,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GCFPK-Plat01-NB-thameslink,910GCFPK,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GCFPK-Plat02-SB-thameslink,910GCFPK,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GCHDWLHT-Plat01-WB-elizabeth,910GCHDWLHT,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GCHDWLHT-Plat02-EB-elizabeth,910GCHDWLHT,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GCHDWLHT-Plat03-WB-elizabeth,910GCHDWLHT,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GCHDWLHT-Plat04-EB-elizabeth,910GCHDWLHT,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GCHESHNT-Plat01-SB-national-rail,910GCHESHNT,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GCHESHNT-Plat02-NB-national-rail,910GCHESHNT,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GCHESHNT-Plat03-SB-london-overground,910GCHESHNT,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
910GCHINGFD-Plat01-SB-london-overground,910GCHINGFD,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GCHINGFD-Plat02-SB-london-overground,910GCHINGFD,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GCHINGFD-Plat03-SB-london-overground,910GCHINGFD,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
910GCTMSLNK-Plat01-NB-thameslink,910GCTMSLNK,1,Northbound,,Northbound Platform 1 ,TRUE,FALSE,Ludgate Hill,TRUE
910GCTMSLNK-Plat02-SB-thameslink,910GCTMSLNK,2,Southbound,,Southbound Platform 2,TRUE,FALSE,Ludgate Hill,TRUE
910GCLAPTON-Plat01-SB-london-overground,910GCLAPTON,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GCLAPTON-Plat02-NB-london-overground,910GCLAPTON,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GCLDNNRB-Plat02-WB-london-overground,910GCLDNNRB,2,Westbound,,Westbound Platform 2,TRUE,FALSE,,TRUE
910GCLDNNRB-Plat03-EB-london-overground,910GCLDNNRB,3,Eastbound,,Eastbound Platform 3,TRUE,FALSE,,TRUE
910GCLPHHS-Plat01-WB-london-overground,910GCLPHHS,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GCLPHHS-Plat02-EB-london-overground,910GCLPHHS,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GCMDNRD-Plat01-WB-london-overground,910GCMDNRD,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GCMDNRD-Plat02-EB-london-overground,910GCMDNRD,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GCNNB-Plat01-NB-london-overground,910GCNNB,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,TRUE
910GCNNB-Plat02-SB-london-overground,910GCNNB,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GCNNB-Plat03-WB-london-overground,910GCNNB,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GCNNB-Plat04-EB-london-overground,910GCNNB,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GCOLSDNS-Plat01-NB-thameslink,910GCOLSDNS,1,Northbound,,Northbound Platform 1,TRUE,FALSE,Brighton Road,TRUE
910GCOLSDNS-Plat02-SB-thameslink,910GCOLSDNS,2,Southbound,,Southbound Platform 2,TRUE,FALSE,Brighton Road,TRUE
910GCRKLWD-Plat01-SB-thameslink,910GCRKLWD,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,FALSE
910GCRKLWD-Plat02-NB-thameslink,910GCRKLWD,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,FALSE
910GCRLN-Plat01-WB-national-rail,910GCRLN,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GCRLN-Plat02-EB-national-rail,910GCRLN,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GCROUCHH-Plat01-WB-london-overground,910GCROUCHH,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GCROUCHH-Plat02-EB-london-overground,910GCROUCHH,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GCRPNDPK-Plat01-SB-london-overground,910GCRPNDPK,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GCRPNDPK-Plat02-NB-london-overground,910GCRPNDPK,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GCRSHLTN-Plat01-EB-thameslink,910GCRSHLTN,1,Eastbound,,Eastbound Platform 1,TRUE,FALSE,,TRUE
910GCRSHLTN-Plat02-WB-thameslink,910GCRSHLTN,2,Westbound,,Westbound Platform 2,TRUE,FALSE,,TRUE
910GDALSKLD-Plat01-WB-london-overground,910GDALSKLD,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GDALSKLD-Plat02-EB-london-overground,910GDALSKLD,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GDALS-Plat01-NB-london-overground,910GDALS,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,TRUE
910GDALS-Plat02-SB-london-overground,910GDALS,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GDALS-Plat03-SB-london-overground,910GDALS,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
910GDALS-Plat04-SB-london-overground,910GDALS,4,Southbound,,Southbound Platform 4,TRUE,FALSE,,TRUE
910GDARTFD-Plat01-WB-national-rail,910GDARTFD,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GDARTFD-Plat02-WB-national-rail,910GDARTFD,2,Westbound,,Westbound Platform 2,TRUE,FALSE,,TRUE
910GDARTFD-Plat03-WB-national-rail,910GDARTFD,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GDARTFD-Plat04-EB-national-rail,910GDARTFD,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GDENMRKH-Plat01-WB-london-overground|national-rail,910GDENMRKH,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GDENMRKH-Plat02-EB-london-overground|national-rail,910GDENMRKH,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GDENMRKH-Plat03-WB-national-rail,910GDENMRKH,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
910GDENMRKH-Plat04-EB-national-rail,910GDENMRKH,4,Eastbound,,Eastbound Platform 4,TRUE,FALSE,,TRUE
910GDEPTFD-Plat01-WB-thameslink,910GDEPTFD,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GDEPTFD-Plat02-EB-thameslink,910GDEPTFD,2,Eastbound,,Eastbound Platform 2 ,TRUE,FALSE,,TRUE
910GEDMNGRN-Plat01-SB-london-overground|national-rail,910GEDMNGRN,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GEDMNGRN-Plat02-NB-london-overground|national-rail,910GEDMNGRN,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GELTR-Plat01-SB-thameslink,910GELTR,1,Southbound,,Southbound Platform 1,TRUE,FALSE,,TRUE
910GELTR-Plat02-NB-thameslink,910GELTR,2,Northbound,,Northbound Platform 2,TRUE,FALSE,,TRUE
910GELTR-Plat03-SB-thameslink,910GELTR,3,Southbound,,Southbound Platform 3,TRUE,FALSE,,TRUE
910GELTR-Plat04-NB-thameslink,910GELTR,4,Northbound,,Northbound Platform 4,TRUE,FALSE,,TRUE
910GEMRSPKH-Plat01-EB-london-overground,910GEMRSPKH,1,Eastbound,,Eastbound Platform 1,TRUE,FALSE,,TRUE
910GEMRSPKH-Plat01-WB-london-overground,910GEMRSPKH,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GENFLDTN-Plat02-SB-london-overground,910GENFLDTN,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,TRUE
910GESTFLDS-Plat01-NB-national-rail,910GESTFLDS,1,Northbound,,Northbound Platform 1,TRUE,FALSE,,FALSE
910GESTFLDS-Plat02-SB-national-rail,910GESTFLDS,2,Southbound,,Southbound Platform 2,TRUE,FALSE,,FALSE
910GFNCHLYR-Plat01-WB-london-overground,910GFNCHLYR,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GFNCHLYR-Plat02-EB-london-overground,910GFNCHLYR,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GFORESTH-Plat01-NB-london-overground,910GFORESTH,1,Northbound,,Northbound Platform 1,TRUE,FALSE,Devonshire Road,TRUE
910GFORESTH-Plat02-SB-london-overground,910GFORESTH,2,Southbound,,Southbound Platform 2,TRUE,FALSE,Devonshire Road,TRUE
910GFRSTGT-Plat01-WB-elizabeth,910GFRSTGT,1,Westbound,,Westbound Platform 1,TRUE,FALSE,,TRUE
910GFRSTGT-Plat02-EB-elizabeth,910GFRSTGT,2,Eastbound,,Eastbound Platform 2,TRUE,FALSE,,TRUE
910GFRSTGT-Plat03-WB-elizabeth,910GFRSTGT,3,Westbound,,Westbound Platform 3,TRUE,FALSE,,TRUE
