UniqueId,StationUniqueId,AreaName,AreaId,Level,Lat,Lon,FriendlyName
910GACTNCTL-1001002-AC-3,910GACTNCTL,AC,3,0,51.50862,-0.26351,AC
910GACTNCTL-1001002-Bus-1,910GACTNCTL,Bus,1,0,51.50651,-0.26372,Bus
910GACTNCTL-1001002-ENTR-7,910GACTNCTL,ENTR,7,0,51.50892,-0.2626,ENTR
910GACTNCTL-1001002-RLY-4,910GACTNCTL,RLY,4,1,51.50865,-0.26293,RLY
910GACTNCTL-1001002-RPL-2,910GACTNCTL,RPL,2,1,51.50865,-0.26306,RPL
910GACTNCTL-1001002-RPL-5,910GACTNCTL,RPL,5,1,51.50865,-0.26271,RPL
910GACTNCTL-1001002-Sub-6,910GACTNCTL,Sub,6,-1,51.50856,-0.26325,Sub
910GACTONML-1001003-AC-B-3,910GACTONML,AC-B,3,0,51.51732,-0.26669,AC-B
910GACTONML-1001003-AC-S-6,910GACTONML,AC-S,6,0,51.5168,-0.26736,AC-S
910GACTONML-1001003-Bus-1,910GACTONML,Bus,1,0,51.51772,-0.26612,Bus
910GACTONML-1001003-RLY-4,910GACTONML,RLY,4,0,51.5169,-0.26766,RLY
910GACTONML-1001003-RPL1-2,910GACTONML,RPL1,2,-1,51.51675,-0.26968,RPL1
910GACTONML-1001003-RPL2-5,910GACTONML,RPL2,5,-1,51.51693,-0.26973,RPL2
910GANERLEY-1001007-AcAne-3,910GANERLEY,AcAne,3,0,51.41221,-0.06544,AcAne
910GANERLEY-1001007-AcRis-5,910GANERLEY,AcRis,5,0,51.4121,-0.06629,AcRis
910GANERLEY-1001007-Bridg-70,910GANERLEY,Bridg,70,1,51.41264,-0.06533,Bridg
910GANERLEY-1001007-Bus-1,910GANERLEY,Bus,1,0,51.41206,-0.06567,Bus
910GANERLEY-1001007-RLY-4,910GANERLEY,RLY,4,0,51.41267,-0.06543,RLY
910GANERLEY-1001007-RPL-N-6,910GANERLEY,RPL-N,6,0,51.41251,-0.06553,RPL-N
910GANERLEY-1001007-RPL-S-2,910GANERLEY,RPL-S,2,0,51.41247,-0.06538,RPL-S
910GBCKNHMH-1001017-Bus-1,910GBCKNHMH,Bus,1,0,51.42375,-0.01489,Bus
910GBCKNHMH-1001017-EntM-6,910GBCKNHMH,EntM,6,-1,51.4248,-0.01581,EntM
910GBCKNHMH-1001017-EntS-5,910GBCKNHMH,EntS,5,0,51.42446,-0.01636,EntS
910GBCKNHMH-1001017-FBdg-7,910GBCKNHMH,FBdg,7,1,51.42474,-0.01628,FBdg
910GBCKNHMH-1001017-RLY-4,910GBCKNHMH,RLY,4,0,51.42464,-0.01631,RLY
910GBCKNHMH-1001017-RPL-N-2,910GBCKNHMH,RPL-N,2,0,51.42473,-0.01651,RPL-N
910GBCKNHMH-1001017-RPL-S-3,910GBCKNHMH,RPL-S,3,0,51.42483,-0.01617,RPL-S
910GBELNGHM-1001019-Entr-4,910GBELNGHM,Entr,4,1,51.43278,-0.01948,Entr
910GBELNGHM-1001019-FBdg-5,910GBELNGHM,FBdg,5,1,51.43287,-0.01933,FBdg
910GBELNGHM-1001019-RLY-3,910GBELNGHM,RLY,3,0,51.43387,-0.02044,RLY
910GBELNGHM-1001019-RPL N-1,910GBELNGHM,RPL N,1,0,51.43295,-0.01953,RPL N
910GBELNGHM-1001019-RPL S-2,910GBELNGHM,RPL S,2,0,51.43299,-0.01936,RPL S
910GBHILLPK-1001042-BRDGE-7,910GBHILLPK,BRDGE,7,1,51.6413,-0.06916,BRDGE
910GBHILLPK-1001042-Bus-4,910GBHILLPK,Bus,4,0,51.64139,-0.06856,Bus
910GBHILLPK-1001042-EntrM-2,910GBHILLPK,EntrM,2,0,51.64162,-0.069,EntrM
910GBHILLPK-1001042-EntrQ-6,910GBHILLPK,EntrQ,6,0,51.64137,-0.06962,EntrQ
910GBHILLPK-1001042-RLY-3,910GBHILLPK,RLY,3,0,51.64152,-0.06922,RLY
910GBHILLPK-1001042-RPL-N-1,910GBHILLPK,RPL-N,1,0,51.64183,-0.06961,RPL-N
910GBHILLPK-1001042-RPL-S-5,910GBHILLPK,RPL-S,5,0,51.64187,-0.06947,RPL-S
910GBICKLEY-1001026-Bus-3,910GBICKLEY,Bus,3,0,51.39904,0.04665,Bus
910GBICKLEY-1001026-Entr-5,910GBICKLEY,Entr,5,0,51.40012,0.04524,Entr
910GBICKLEY-1001026-RLY-4,910GBICKLEY,RLY,4,0,51.40011,0.04503,RLY
910GBICKLEY-1001026-RPL1-1,910GBICKLEY,RPL1,1,-1,51.40005,0.04486,RPL1
910GBICKLEY-1001026-RPL2-2,910GBICKLEY,RPL2,2,-1,51.40015,0.04485,RPL2
910GBKRVS-1002272-Bus-6,910GBKRVS,Bus,6,0,51.51865,0.12017,Bus
910GBKRVS-1002272-FCEnt-3,910GBKRVS,FCEnt,3,0,51.51935,0.11663,FCEnt
910GBKRVS-1002272-RLY-5,910GBKRVS,RLY,5,0,51.51981,0.11653,RLY
910GBKRVS-1002272-RPL-1-4,910GBKRVS,RPL-1,4,1,51.52052,0.11691,RPL-1
910GBKRVS-1002272-RPL-2-2,910GBKRVS,RPL-2,2,1,51.52076,0.11692,RPL-2
910GBKRVS-1002272-RREnt-1,910GBKRVS,RREnt,1,0,51.51953,0.11596,RREnt
910GBNHAM-1000860-Bus-91,910GBNHAM,Bus,91,0,51.52341,-0.64623,Bus
910GBNHAM-1000860-Entr-90,910GBNHAM,Entr,90,0,51.5234,-0.64648,Entr
910GBNHAM-1000860-RLY-3,910GBNHAM,RLY,3,0,51.5235,-0.64637,RLY
910GBNHAM-1000860-RPL E-1,910GBNHAM,RPL E,1,1,51.5235,-0.64637,RPL E
910GBNHAM-1000860-RPL W-2,910GBNHAM,RPL W,2,1,51.52332,-0.64609,RPL W
910GBNHAM-1000860-UP-4,910GBNHAM,UP,4,0,51.52323,-0.64595,UP
910GBRBY-1001038-Bus-1,910GBRBY,Bus,1,0,51.54537,-0.20195,Bus
910GBRBY-1001038-Entr-3,910GBRBY,Entr,3,0,51.54525,-0.20193,Entr
910GBRBY-1001038-RLY-4,910GBRBY,RLY,4,0,51.54519,-0.2025,RLY
910GBRBY-1001038-RPL-E-2,910GBRBY,RPL-E,2,1,51.54509,-0.20257,RPL-E
910GBRBY-1001038-RPL-W-5,910GBRBY,RPL-W,5,1,51.54505,-0.20252,RPL-W
910GBRBYPK-1001039-BUS-3,910GBRBYPK,BUS,3,0,51.54067,-0.20958,BUS
910GBRBYPK-1001039-Entr-2,910GBRBYPK,Entr,2,0,51.54093,-0.2099,Entr
910GBRBYPK-1001039-RLY-4,910GBRBYPK,RLY,4,0,51.54034,-0.2105,RLY
910GBRBYPK-1001039-RPL-E-5,910GBRBYPK,RPL-E,5,1,51.54081,-0.21014,RPL-E
910GBRBYPK-1001039-RPL-W-1,910GBRBYPK,RPL-W,1,1,51.54073,-0.21005,RPL-W
