UniqueId,Name,FareZones,HubNaptanCode,Wifi,OutsideStationUniqueId,BlueBadgeCarParking,BlueBadgeCarParkSpaces,TaxiRanksOutsideStation,MainBusInterchange,PierInterchange,NationalRailInterchange,AirportInterchange,EmiratesAirLineInterchange
HUBABW,Abbey Wood,4,HUBABW,FALSE,HUBABW-Outside,False,,False,,,,,
910GACTNCTL,Acton Central,3,,TRUE,910GACTNCTL-Outside,False,,False,,,,,
910GACTONML,Acton Main Line,3,,FALSE,910GACTONML-Outside,False,,False,,,,,
910GANERLEY,Anerley,4,,TRUE,910GANERLEY-Outside,False,,False,,,,,
910GBCKNHMH,Beckenham Hill,4,,FALSE,910GBCKNHMH-Outside,False,,False,,,,,
910GBELNGHM,Bellingham,3,,FALSE,910GBELNGHM-Outside,False,,False,,,,,
910GBHILLPK,Bush Hill Park,5,,TRUE,910GBHILLPK-Outside,TRUE,2,False,,,,,
910GBICKLEY,Bickley,5,,FALSE,910GBICKLEY-Outside,False,,False,,,,,
910GBNHAM,Burnham,Outside,,FALSE,910GBNHAM-Outside,False,,False,,,,,
910GBRBY,Brondesbury,2,,TRUE,910GBRBY-Outside,False,,False,,,,,
910GBRBYPK,Brondesbury Park,2,,FALSE,910GBRBYPK-Outside,False,,False,,,,,
910GBRENTX,Brent Cross West Station,3,,FALSE,910GBRENTX-Outside,False,,False,,,,,
910GBROCKLY,Brockley,2,,TRUE,910GBROCKLY-Outside,False,,False,,,,,
910GBROMLYS,Bromley South,5,,FALSE,910GBROMLYS-Outside,False,,False,,,,,
910GBRTWOOD,Brentwood,9,,TRUE,910GBRTWOOD-Outside,TRUE,17,False,,,,,
910GBRUCGRV,Bruce Grove,3,,TRUE,910GBRUCGRV-Outside,False,,False,,,,,
910GBTHNLGR,Bethnal Green,2,,TRUE,910GBTHNLGR-Outside,False,,False,,,,,
910GCAMHTH,Cambridge Heath,2,,FALSE,910GCAMHTH-Outside,False,,False,,,,,
910GCATFORD,Catford,3,,FALSE,910GCATFORD-Outside,False,,False,,,,,
910GCFPK,Crofton Park,3,,FALSE,910GCFPK-Outside,False,,False,,,,,
910GCHDWLHT,Chadwell Heath,5,,FALSE,910GCHDWLHT-Outside,False,,False,,,,,
910GCHESHNT,Cheshunt,8,,TRUE,910GCHESHNT-Outside,TRUE,5,False,,,Partial,,
910GCHINGFD,Chingford,5,,TRUE,910GCHINGFD-Outside,TRUE,3,False,,,,,
910GCLAPTON,Clapton,2|3,,TRUE,910GCLAPTON-Outside,False,,False,,,,,
910GCLDNNRB,Caledonian Road & Barnsbury,2,,FALSE,910GCLDNNRB-Outside,False,,False,,,,,
910GCLPHHS,Clapham High Street,2,,FALSE,910GCLPHHS-Outside,False,,False,,,,,
910GCMDNRD,Camden Road,2,,TRUE,910GCMDNRD-Outside,False,,False,,,,,
