FromPlatformUniqueId,ToPlatformUniqueId,DistanceInMetres
910GACTNCTL-Plat01-WB-london-overground,910GACTNCTL-Plat02-EB-london-overground,50
910GACTNCTL-Plat02-EB-london-overground,910GACTNCTL-Plat01-WB-london-overground,50
910GANERLEY-Plat01-NB-london-overground,910GANERLEY-Plat02-SB-london-overground,220
910GANERLEY-Plat02-SB-london-overground,910GANERLEY-Plat01-NB-london-overground,220
910GBHILLPK-Plat01-SB-london-overground,910GBHILLPK-Plat02-NB-london-overground,290
910GBHILLPK-Plat02-NB-london-overground,910GBHILLPK-Plat01-SB-london-overground,290
910GBROCKLY-Plat01-NB-london-overground,910GBROCKLY-Plat02-SB-london-overground,50
910GBROCKLY-Plat02-SB-london-overground,910GBROCKLY-Plat01-NB-london-overground,50
910GHGHMSPK-Plat01-SB-london-overground,910GHGHMSPK-Plat02-NB-london-overground,350
910GHGHMSPK-Plat02-NB-london-overground,910GHGHMSPK-Plat01-SB-london-overground,350
910GHRGYGL-Plat01-WB-london-overground,910GHRGYGL-Plat02-EB-london-overground,30
910GHRGYGL-Plat02-EB-london-overground,910GHRGYGL-Plat01-WB-london-overground,30
910GKENR-Plat01-WB-london-overground,910GKENR-Plat02-EB-london-overground,200
910GKENR-Plat02-EB-london-overground,910GKENR-Plat01-WB-london-overground,200
910GSACTON-Plat01-WB-london-overground,910GSACTON-Plat02-EB-london-overground,1300
910GSACTON-Plat02-EB-london-overground,910GSACTON-Plat01-WB-london-overground,1300
910GUPRHLWY-Plat01-WB-london-overground,910GUPRHLWY-Plat02-EB-london-overground,40
910GUPRHLWY-Plat02-EB-london-overground,910GUPRHLWY-Plat01-WB-london-overground,40
940GZZLUEPG-Plat01-WB-central,940GZZLUEPG-Plat02-WB-central,450
940GZZLUEPG-Plat02-WB-central,940GZZLUEPG-Plat01-WB-central,450
940GZZLUGPK-Plat01-WB-piccadilly,940GZZLUGPK-Plat03-NB-victoria,160
940GZZLUGPK-Plat01-WB-piccadilly,940GZZLUGPK-Plat04-SB-victoria,160
940GZZLUGPK-Plat01-WB-piccadilly,940GZZLUGPK-Plat05-NB-jubilee,220
940GZZLUGPK-Plat01-WB-piccadilly,940GZZLUGPK-Plat06-SB-jubilee,220
940GZZLUGPK-Plat02-EB-piccadilly,940GZZLUGPK-Plat03-NB-victoria,160
940GZZLUGPK-Plat02-EB-piccadilly,940GZZLUGPK-Plat04-SB-victoria,160
940GZZLUGPK-Plat02-EB-piccadilly,940GZZLUGPK-Plat05-NB-jubilee,220
940GZZLUGPK-Plat02-EB-piccadilly,940GZZLUGPK-Plat06-SB-jubilee,220
940GZZLUGPK-Plat03-NB-victoria,940GZZLUGPK-Plat01-WB-piccadilly,160
940GZZLUGPK-Plat03-NB-victoria,940GZZLUGPK-Plat02-EB-piccadilly,160
940GZZLUGPK-Plat03-NB-victoria,940GZZLUGPK-Plat05-NB-jubilee,380
940GZZLUGPK-Plat03-NB-victoria,940GZZLUGPK-Plat06-SB-jubilee,380
940GZZLUGPK-Plat04-SB-victoria,940GZZLUGPK-Plat01-WB-piccadilly,160
940GZZLUGPK-Plat04-SB-victoria,940GZZLUGPK-Plat02-EB-piccadilly,160
940GZZLUGPK-Plat04-SB-victoria,940GZZLUGPK-Plat05-NB-jubilee,380
940GZZLUGPK-Plat04-SB-victoria,940GZZLUGPK-Plat06-SB-jubilee,380
940GZZLUGPK-Plat05-NB-jubilee,940GZZLUGPK-Plat01-WB-piccadilly,220
940GZZLUGPK-Plat05-NB-jubilee,940GZZLUGPK-Plat02-EB-piccadilly,220
940GZZLUGPK-Plat05-NB-jubilee,940GZZLUGPK-Plat03-NB-victoria,380
940GZZLUGPK-Plat05-NB-jubilee,940GZZLUGPK-Plat04-SB-victoria,380
940GZZLUGPK-Plat06-SB-jubilee,940GZZLUGPK-Plat01-WB-piccadilly,220
940GZZLUGPK-Plat06-SB-jubilee,940GZZLUGPK-Plat02-EB-piccadilly,220
940GZZLUGPK-Plat06-SB-jubilee,940GZZLUGPK-Plat03-NB-victoria,380
940GZZLUGPK-Plat06-SB-jubilee,940GZZLUGPK-Plat04-SB-victoria,380
940GZZLURVY-Plat01-WB-central,940GZZLURVY-Plat02-EB-central,520
940GZZLURVY-Plat02-EB-central,940GZZLURVY-Plat01-WB-central,520
940GZZLUSUT-Plat01-WB-piccadilly,940GZZLUSUT-Plat02-EB-piccadilly,150
940GZZLUSUT-Plat02-EB-piccadilly,940GZZLUSUT-Plat01-WB-piccadilly,150
940GZZLUSWF-Plat01-WB-central,940GZZLUSWF-Plat02-EB-central,125
940GZZLUSWF-Plat02-EB-central,940GZZLUSWF-Plat01-WB-central,125
940GZZLUWFN-Plat01-NB-northern,940GZZLUWFN-Plat02-SB-northern,350
940GZZLUWFN-Plat02-SB-northern,940GZZLUWFN-Plat01-NB-northern,350
940GZZLUWOF-Plat01-WB-central,940GZZLUWOF-Plat03-EB-central,130
940GZZLUWOF-Plat02-WB-central,940GZZLUWOF-Plat03-EB-central,130
940GZZLUWOF-Plat03-EB-central,940GZZLUWOF-Plat01-WB-central,130
940GZZLUWOF-Plat03-EB-central,940GZZLUWOF-Plat02-WB-central,130
940GZZLUWOP-Plat01-NB-northern,940GZZLUWOP-Plat02-SB-northern,600
940GZZLUWOP-Plat02-SB-northern,940GZZLUWOP-Plat01-NB-northern,600
HUBHMS-Plat01-EB-circle|hammersmith-city,HUBHMS-Plat01-WB-district,520
HUBHMS-Plat01-EB-circle|hammersmith-city,HUBHMS-Plat02-WB-piccadilly,520
HUBHMS-Plat01-EB-circle|hammersmith-city,HUBHMS-Plat03-EB-piccadilly,520
HUBHMS-Plat01-EB-circle|hammersmith-city,HUBHMS-Plat04-EB-district,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat03-EB-circle|hammersmith-city,520
HUBHMS-Plat01-WB-district,HUBHMS-Plat03-EB-circle|hammersmith-city,520
HUBHMS-Plat02-EB-circle|hammersmith-city,HUBHMS-Plat01-WB-district,520
HUBHMS-Plat02-EB-circle|hammersmith-city,HUBHMS-Plat02-WB-piccadilly,520
HUBHMS-Plat02-EB-circle|hammersmith-city,HUBHMS-Plat03-EB-piccadilly,520
HUBHMS-Plat02-EB-circle|hammersmith-city,HUBHMS-Plat04-EB-district,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat03-EB-circle|hammersmith-city,520
HUBHMS-Plat02-WB-piccadilly,HUBHMS-Plat03-EB-circle|hammersmith-city,520
HUBHMS-Plat03-EB-circle|hammersmith-city,HUBHMS-Plat01-WB-district,520
HUBHMS-Plat03-EB-circle|hammersmith-city,HUBHMS-Plat02-WB-piccadilly,520
HUBHMS-Plat03-EB-circle|hammersmith-city,HUBHMS-Plat03-EB-piccadilly,520
HUBHMS-Plat03-EB-circle|hammersmith-city,HUBHMS-Plat04-EB-district,520
HUBHMS-Plat03-EB-piccadilly,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat03-EB-piccadilly,HUBHMS-Plat01-EB-circle|hammersmith-city,520
HUBHMS-Plat03-EB-piccadilly,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat03-EB-piccadilly,HUBHMS-Plat02-EB-circle|hammersmith-city,520
HUBHMS-Plat03-EB-piccadilly,HUBHMS-Plat03-EB-circle|hammersmith-city,520
