StationUniqueId,Id,IsAccessible,HasBabyChanging,IsInsideGateLine,Location,IsFeeCharged,Type,IsManagedByTfL
910GACTONML,1,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
910GBHILLPK,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GBHILLPK,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GBHILLPK,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
910GBNHAM,1,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Male,TRUE
910GBNHAM,2,FALSE,FALSE,TRUE,Located on platform 2,FALSE,Female,TRUE
910GBNHAM,3,TRUE,TRUE,TRUE,Located on platform 2,FALSE,Unisex,TRUE
910GBRTWOOD,1,FALSE,FALSE,TRUE,"Located on platforms 2,3,4",FALSE,Male,TRUE
910GBRTWOOD,2,FALSE,TRUE,TRUE,"Located on platforms 2,3,4",FALSE,Female,TRUE
910GBRTWOOD,3,TRUE,FALSE,TRUE,"Located on platforms 2,3,4",FALSE,Unisex,TRUE
910GCHDWLHT,1,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
910GCHESHNT,1,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Male,FALSE
910GCHESHNT,2,FALSE,FALSE,FALSE,Located in ticket hall,FALSE,Female,FALSE
910GCHESHNT,3,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,FALSE
910GCHINGFD,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GCHINGFD,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GCHINGFD,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
910GDALS,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GDENMRKH,1,TRUE,FALSE,TRUE,Located behind ticket office,FALSE,Unisex,FALSE
910GENFLDTN,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GENFLDTN,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GENFLDTN,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
910GFRSTGT,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
910GGIDEAPK,1,FALSE,FALSE,TRUE,Located on platforms 3 & 4,FALSE,Male,TRUE
910GGIDEAPK,2,FALSE,FALSE,TRUE,Located on platforms 3 & 4,FALSE,Female,TRUE
910GGIDEAPK,3,TRUE,FALSE,TRUE,Located on platforms 3 & 4,FALSE,Unisex,TRUE
910GGODMAYS,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
910GGOSPLOK,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GGOSPLOK,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GGOSPLOK,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
910GHAGGERS,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GHANWELL,1,TRUE,FALSE,TRUE,Located on platform 3,FALSE,Unisex,TRUE
910GHAYESAH,1,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GHAYESAH,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GHAYESAH,3,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GHOXTON,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GHRLDWOD,1,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Male,TRUE
910GHRLDWOD,2,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Female,TRUE
910GHRLDWOD,3,TRUE,FALSE,TRUE,Located on platform 3,FALSE,Unisex,TRUE
910GILFORD,1,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Male,TRUE
910GILFORD,2,FALSE,FALSE,TRUE,Located on platform 3,FALSE,Female,TRUE
910GILFORD,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GIVER,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GLANGLEY,1,FALSE,FALSE,FALSE,Located outside station entrance,FALSE,Male,TRUE
910GLANGLEY,2,FALSE,FALSE,FALSE,Located outside station entrance,FALSE,Female,TRUE
910GLANGLEY,3,TRUE,FALSE,FALSE,Located outside station entrance,FALSE,Unisex,TRUE
910GMANRPK,1,TRUE,FALSE,FALSE,Located in ticket hall,FALSE,Unisex,TRUE
910GMRYLAND,1,TRUE,FALSE,TRUE,Located in ticket hall,FALSE,Unisex,TRUE
910GMDNHEAD,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GMDNHEAD,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GMDNHEAD,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GPENEW,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GPENEW,2,FALSE,TRUE,TRUE,,FALSE,Female,TRUE
910GPENEW,3,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GRDNGSTN,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GRDNGSTN,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GRDNGSTN,3,TRUE,TRUE,TRUE,,FALSE,Unisex,TRUE
910GROMFORD,1,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Male,TRUE
910GROMFORD,2,FALSE,FALSE,TRUE,Located on platform 4,FALSE,Female,TRUE
910GROMFORD,3,TRUE,FALSE,TRUE,Located on platform 4,FALSE,Unisex,TRUE
910GSHENFLD,1,FALSE,FALSE,TRUE,,FALSE,Male,TRUE
910GSHENFLD,2,FALSE,FALSE,TRUE,,FALSE,Female,TRUE
910GSHENFLD,3,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
910GSHRDHST,1,TRUE,FALSE,TRUE,,FALSE,Unisex,TRUE
