stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,level_id,platform_code
HUBABW,HUBABW,Abbey Wood,,,,1,,,
HUBABW-Outside,,Outside Abbey Wood,,,,3,HUBABW,,
HUBABW-1001001-Bus-5,,Bus,,51.49238,0.12128,3,HUBABW,L#1,
HUBABW-1001001-EL EB-8,,EL EB,,51.49128,0.12109,3,HUBABW,L#0,
HUBABW-1001001-EL WB-9,,EL WB,,51.49122,0.12108,3,HUBABW,L#0,
HUBABW-1001001-FELIX-6,,FELIX,,51.49143,0.12007,3,HUBABW,L#0,
HUBABW-1001001-HARRO-2,,HARRO,,51.49163,0.12185,3,HUBABW,L#1,
HUBABW-1001001-RLY-10,,RLY,,51.49124,0.12137,3,HUBABW,L#0,
HUBABW-1001001-RLY-4,,RLY,,51.49113,0.12138,3,HUBABW,L#1,
HUBABW-1001001-RPLC-7,,RPLC,,51.4911,0.12109,3,HUBABW,L#0,
HUBABW-1001001-RPLD-3,,RPLD,,51.49116,0.1211,3,HUBABW,L#0,
HUBABW-1001001-TH-11,,TH,,51.49102,0.12194,3,HUBABW,L#1,
HUBABW-1001001-WILTO-1,,WILTO,,51.49081,0.12131,3,HUBABW,L#0,
HUBABW-Plat01-WB-national-rail,,Westbound Platform 1 ,,,,0,HUBABW,,1
HUBABW-Plat02-EB-national-rail,,Eastbound Platform 2 ,,,,0,HUBABW,,2
HUBABW-Plat03-WB-elizabeth,,Westbound Platform 3,,,,0,HUBABW,,3
HUBABW-Plat04-WB-elizabeth,,Westbound Platform 4,,,,0,HUBABW,,4
910GACTNCTL,910GACTNCTL,Acton Central,,,,1,,,
910GACTNCTL-Outside,,Outside Acton Central,,,,3,910GACTNCTL,,
910GACTNCTL-1001002-AC-3,,AC,,51.50862,-0.26351,3,910GACTNCTL,L#0,
910GACTNCTL-1001002-Bus-1,,Bus,,51.50651,-0.26372,3,910GACTNCTL,L#0,
910GACTNCTL-1001002-ENTR-7,,ENTR,,51.50892,-0.2626,3,910GACTNCTL,L#0,
910GACTNCTL-1001002-RLY-4,,RLY,,51.50865,-0.26293,3,910GACTNCTL,L#1,
910GACTNCTL-1001002-RPL-2,,RPL,,51.50865,-0.26306,3,910GACTNCTL,L#1,
910GACTNCTL-1001002-RPL-5,,RPL,,51.50865,-0.26271,3,910GACTNCTL,L#1,
910GACTNCTL-1001002-Sub-6,,Sub,,51.50856,-0.26325,3,910GACTNCTL,L#-1,
910GACTNCTL-Plat01-WB-london-overground,,Westbound Platform 1,,,,0,910GACTNCTL,,1
910GACTNCTL-Plat02-EB-london-overground,,Eastbound Platform 2,,,,0,910GACTNCTL,,2
910GACTONML,910GACTONML,Acton Main Line,,,,1,,,
910GACTONML-Outside,,Outside Acton Main Line,,,,3,910GACTONML,,
910GACTONML-1001003-AC-B-3,,AC-B,,51.51732,-0.26669,3,910GACTONML,L#0,
910GACTONML-1001003-AC-S-6,,AC-S,,51.5168,-0.26736,3,910GACTONML,L#0,
910GACTONML-1001003-Bus-1,,Bus,,51.51772,-0.26612,3,910GACTONML,L#0,
910GACTONML-1001003-RLY-4,,RLY,,51.5169,-0.26766,3,910GACTONML,L#0,
910GACTONML-1001003-RPL1-2,,RPL1,,51.51675,-0.26968,3,910GACTONML,L#-1,
910GACTONML-1001003-RPL2-5,,RPL2,,51.51693,-0.26973,3,910GACTONML,L#-1,
910GACTONML-Plat03-WB-elizabeth,,Westbound Platform 3,,,,0,910GACTONML,,3
910GACTONML-Plat04-EB-elizabeth,,Eastbound Platform 4,,,,0,910GACTONML,,4
910GANERLEY,910GANERLEY,Anerley,,,,1,,,
910GANERLEY-Outside,,Outside Anerley,,,,3,910GANERLEY,,
910GANERLEY-1001007-AcAne-3,,AcAne,,51.41221,-0.06544,3,910GANERLEY,L#0,
